iter	RMSE
0	87.74066582
1	84.97506167
2	82.2627857
33	79.35814881
4	76.81828929
5	74.27844074
6	71.91185841
7	69.74348084
8	67.63705715
9	65.55900681
10	63.64076555
11	61.82794359
12	60.08244639
13	58.40370321
14	56.80719197
15	55.43442338
16	54.03978336
17	52.78853342
18	51.57448482
19	50.36029292
20	49.20669829
21	48.157141
22	47.15631721
23	46.18395602
24	45.27035116
25	44.55575447
26	43.72892851
27	42.91351204
28	42.24166802
29	41.6377426
30	40.96260199
31	40.34306499
32	39.72273645
33	39.19299354
34	38.68905306
35	38.21502746
36	37.77135521
37	37.31504509
38	36.92905697
39	36.50284516
40	36.09114787
41	35.7888278
42	35.47893069
43	35.12572855
44	34.81484469
45	34.52787093
46	34.31144035
47	34.03491097
48	33.7732139
49	33.54076811
50	33.33638442
51	33.19122059
52	33.00893217
53	32.83081655
54	32.67220955
55	32.52070272
56	32.32748271
57	32.17407676
58	32.0356424
59	31.87019343
60	31.74191605
61	31.61016438
62	31.49187588
63	31.33816593
64	31.24851589
65	31.11513355
66	31.03598539
67	30.93211399
68	30.82893528
69	30.72059235
70	30.65251858
71	30.53854989
72	30.46461585
73	30.3690963
74	30.29093206
75	30.21649062
76	30.14393372
77	30.066439
78	29.98012349
79	29.90389966
80	29.83917397
81	29.78382529
82	29.70401351
83	29.64583977
84	29.60177444
85	29.52962898
86	29.46998796
87	29.41339361
88	29.36219321
89	29.31143701
90	29.26301432
91	29.19427221
92	29.1511148
93	29.10620511
94	29.06562206
95	29.01380484
96	28.96059732
97	28.91314499
98	28.87647636
99	28.8138405
100	28.77947287
101	28.74435256
102	28.7081943
103	28.67421969
104	28.64628921
105	28.59515351
106	28.54823785
107	28.50919197
108	28.46393982
109	28.4308269
110	28.39835541
111	28.35720534
112	28.3288002
113	28.30226299
114	28.26960376
115	28.21683739
116	28.15874939
117	28.12827417
118	28.10303716
119	28.0691198
120	28.0434578
121	28.02070429
122	27.98154783
123	27.95173128
124	27.89844882
125	27.86302439
126	27.83840549
127	27.80258155
128	27.77647646
129	27.72832159
130	27.67377866
131	27.65181825
132	27.62219391
133	27.58393612
134	27.54788799
135	27.51865237
136	27.48331297
137	27.45680544
138	27.43305035
139	27.40541411
140	27.3695603
141	27.34178447
142	27.31294182
143	27.28424386
144	27.2654078
145	27.24425772
146	27.2320047
147	27.20895624
148	27.18241039
149	27.15768345
150	27.11433839
151	27.09774916
152	27.06182834
153	27.0447346
154	27.01248244
155	26.98134689
156	26.94361348
157	26.91782264
158	26.89836764
159	26.8876803
160	26.85485144
161	26.83588168
162	26.8006525
163	26.7748114
164	26.72816572
165	26.69503185
166	26.67472005
167	26.65635159
168	26.62495698
169	26.58757904
170	26.5414951
171	26.50628087
172	26.47642661
173	26.43831381
174	26.41499402
175	26.39633887
176	26.36815049
177	26.33375362
178	26.3130183
179	26.28352223
180	26.25409078
181	26.20502722
182	26.15436003
183	26.12644359
184	26.10421954
185	26.0767215
186	26.05164234
187	25.99802109
188	25.9650421
189	25.92712335
190	25.88651573
191	25.87169644
192	25.85546244
193	25.83731791
194	25.82962608
195	25.79137204
196	25.77484496
197	25.74913657
198	25.71368758
199	25.67579638
200	25.63140715
201	25.59588938
202	25.57310959
203	25.54150355
204	25.52585877
205	25.50359201
206	25.45579248
207	25.43134911
208	25.40906189
209	25.37283203
210	25.3540061
211	25.33076775
212	25.30060357
213	25.26605513
214	25.25609794
215	25.22534156
216	25.1885355
217	25.16448309
218	25.12768404
219	25.09705167
220	25.08787629
221	25.06165793
222	25.04944126
223	25.02168296
224	24.98277532
225	24.94044546
226	24.90336822
227	24.87918252
228	24.86629187
229	24.84578004
230	24.82822597
231	24.80541548
232	24.78551348
233	24.77017521
234	24.74588524
235	24.72527467
236	24.70226582
237	24.68403819
238	24.64255561
239	24.61804024
240	24.5726648
241	24.55975246
242	24.53092813
243	24.50453843
244	24.47744787
245	24.44581076
246	24.41103405
247	24.35800645
248	24.33678288
249	24.31843259
250	24.29653791
251	24.27280737
252	24.26266682
253	24.24476982
254	24.23470356
255	24.20087477
256	24.19277401
257	24.16830426
258	24.14585719
259	24.12421592
260	24.09049441
261	24.06563105
262	24.03571881
263	24.0159143
264	23.99142819
265	23.96813657
266	23.94309921
267	23.92390871
268	23.89796766
269	23.86222162
270	23.83113639
271	23.81300166
272	23.80542535
273	23.79348729
274	23.77927666
275	23.76223475
276	23.74978875
277	23.73072868
278	23.71121034
279	23.68595378
280	23.67106567
281	23.64989236
282	23.60343514
283	23.58536057
284	23.55315774
285	23.53661562
286	23.51952113
287	23.49834419
288	23.47027039
289	23.45601854
290	23.45314631
291	23.44447323
292	23.43896927
293	23.41358866
294	23.41048183
295	23.38972331
296	23.37496327
297	23.34866589
298	23.33122463
299	23.32039769
300	23.30881181
301	23.28688863
302	23.25388528
303	23.22565482
304	23.22457214
305	23.22058921
